repo	status	snapshot_count	earliest	latest
ChrisGe4/teleport	404_missing	0	-	-
Kieran2k15/teleproc	404_missing	0	-	-
Takumi2008/go-run	404_missing	0	-	-
aadc-dev/teleport-job-management-int	404_missing	0	-	-
andrewhare/jobs	404_missing	0	-	-
bejelith/goteleport	404_missing	0	-	-
cweiser22/teleport_interview	404_missing	0	-	-
dakotasanchez/job-worker-challenge	404_missing	0	-	-
derekschultz/job-worker	404_missing	0	-	-
dustinspecker/linux-job-worker-service	404_missing	0	-	-
jawnsy/sprinter	404_missing	0	-	-
jkj/telechallenge	404_missing	0	-	-
kelwang/teleport	404_missing	0	-	-
kshi36/teleport-backend-challenge	404_missing	0	-	-
lsiv568/jobs-worker	404_missing	0	-	-
nixpig/jobworker	404_missing	0	-	-
njayp/jobber	404_missing	0	-	-
nschneid95/TeleportInterview	404_missing	0	-	-
p4n1c/jws	404_missing	0	-	-
parmjassal/assignment-job-worker	404_missing	0	-	-
rafaelvanoni/jobservice	404_missing	0	-	-
reynn/grpc-job-processor	404_missing	0	-	-
tembio/teleport	404_missing	0	-	-
trojal/mh-jobworker	404_missing	0	-	-
wrboyce/jobsvc	404_missing	0	-	-
xiaofatiandi/JobWorkerService	404_missing	0	-	-
xp10wa/job-worker-service	404_missing	0	-	-
zcancio/challenge1	404_missing	0	-	-
zostay/hermione	404_missing	0	-	-
